Type,Timestamp,Tenant,Reading/Amount,Consumption,Balances
READING,2025-02-21 18:53:23,Ground Floor,2460.0,2460.0,Ground Floor: Rs.0.00; First Floor: Rs.0.00; Second Floor: Rs.0.00
READING,2025-02-21 18:53:23,First Floor,5677.0,5677.0,Ground Floor: Rs.0.00; First Floor: Rs.0.00; Second Floor: Rs.0.00
READING,2025-02-21 18:53:23,Second Floor,940.0,940.0,Ground Floor: Rs.0.00; First Floor: Rs.0.00; Second Floor: Rs.0.00
RECHARGE,2025-02-21 19:36:35,First Floor,1200.0,,Ground Floor: Rs.0.00; First Floor: Rs.1200.00; Second Floor: Rs.0.00
READING,2025-03-10 12:56:52,Ground Floor,2504.0,44.0,Ground Floor: Rs.0.00; First Floor: Rs.1200.00; Second Floor: Rs.0.00
READING,2025-03-10 12:56:52,First Floor,5803.0,126.0,Ground Floor: Rs.0.00; First Floor: Rs.1200.00; Second Floor: Rs.0.00
READING,2025-03-10 12:56:52,Second Floor,959.0,19.0,Ground Floor: Rs.0.00; First Floor: Rs.1200.00; Second Floor: Rs.0.00
RECHARGE,2025-03-10 12:56:52,Second Floor,500.0,,Ground Floor: Rs.-279.37; First Floor: Rs.400.00; Second Floor: Rs.379.37
READING,2025-03-16 16:34:21,Ground Floor,2521.0,17.0,Ground Floor: Rs.-279.37; First Floor: Rs.400.00; Second Floor: Rs.379.37
READING,2025-03-16 16:34:21,First Floor,5855.0,52.0,Ground Floor: Rs.-279.37; First Floor: Rs.400.00; Second Floor: Rs.379.37
READING,2025-03-16 16:34:21,Second Floor,960.0,1.0,Ground Floor: Rs.-279.37; First Floor: Rs.400.00; Second Floor: Rs.379.37
RECHARGE,2025-03-16 16:49:38,Ground Floor,1011.0,,Ground Floor: Rs.610.20; First Floor: Rs.28.57; Second Floor: Rs.372.23
